gt,est,diff,img_fn,kp_fn,removed
"[-2.90273681e+03  1.86781129e+01  1.04262494e+02 -6.67132302e-02
  2.22023439e-02  0.00000000e+00]","[-2.86734278e+03  1.47227508e+01  9.66723184e+01 -6.50832469e-02
  1.99203597e-02  1.91599942e-02]",36.41418983073523,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00037.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00037_kp.png,False
"[-2.66396314e+03 -2.85033732e+01  9.96845255e+01  1.35067361e-02
 -1.12738673e-01  0.00000000e+00]","[-2.66783165e+03 -3.06105630e+00  5.68261568e+01  2.49215647e-04
 -1.42764204e-01 -2.61718602e-02]",49.99116561257683,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00038.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00038_kp.png,False
"[-2.66396314e+03 -2.85033732e+01  9.96845255e+01  1.35067361e-02
 -1.12738673e-01  0.00000000e+00]","[-2.66783165e+03 -3.06105630e+00  5.68261568e+01  2.49215647e-04
 -1.42764204e-01 -2.61718602e-02]",49.99116561257683,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00039.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00039_kp.png,False
"[-2.58663283e+03  2.18927841e+01  9.24915140e+01 -5.06243278e-02
 -1.18157675e-01  0.00000000e+00]","[-2.41783373e+03  6.86647633e+01  7.85707346e+01  1.87724362e-02
 -1.00721766e-01 -6.33725992e-01]",175.71152519046913,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00040.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00040_kp.png,False
"[-2.58663283e+03  2.18927841e+01  9.24915140e+01 -5.06243278e-02
 -1.18157675e-01  0.00000000e+00]","[-2.41783373e+03  6.86647633e+01  7.85707346e+01  1.87724362e-02
 -1.00721766e-01 -6.33725992e-01]",175.71152519046913,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00041.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00041_kp.png,False
"[-2.67757162e+03  7.64450462e+01  1.02672418e+02  1.38018906e-01
  1.38116583e-02  0.00000000e+00]","[-2.67245236e+03  7.73702059e+01  1.02507488e+02  1.37120491e-01
  1.39249112e-02 -2.54773977e-04]",5.204795087295625,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00042.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00042_kp.png,False
"[-2.67757162e+03  7.64450462e+01  1.02672418e+02  1.38018906e-01
  1.38116583e-02  0.00000000e+00]","[-2.67245236e+03  7.73702059e+01  1.02507488e+02  1.37120491e-01
  1.39249112e-02 -2.54773977e-04]",5.204795087295625,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00043.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00043_kp.png,False
"[-2.98692207e+03 -5.50618361e+01  1.27172740e+02  1.51254704e-01
  2.57837441e-02  0.00000000e+00]","[-2.95491024e+03 -5.43030933e+01  1.22564119e+02  1.51263292e-01
  2.41114494e-02  1.53906399e-03]",32.350771822100434,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00044.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00044_kp.png,False
"[-2.98692207e+03 -5.50618361e+01  1.27172740e+02  1.51254704e-01
  2.57837441e-02  0.00000000e+00]","[-2.95491024e+03 -5.43030933e+01  1.22564119e+02  1.51263292e-01
  2.41114494e-02  1.53906399e-03]",32.350771822100434,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00045.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00045_kp.png,False
"[-2.65763438e+03  3.27601581e+01  9.90259926e+01  1.43471709e-01
 -1.21953752e-01  0.00000000e+00]","[-3.62798832e+03 -5.64092556e+01  1.69246309e+02  1.83209995e-01
 -1.11194325e-01  1.83375999e-02]",976.9692159654267,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00046.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00046_kp.png,False
